iter	Logloss
0	0.6342461276
1	0.5813399224
2	0.5340324044
3	0.4916178473
4	0.4544902646
5	0.4216801943
6	0.391823011
7	0.3657291769
8	0.3423348766
9	0.3212174243
10	0.3023334883
11	0.2856469761
12	0.2704540624
13	0.256966914
14	0.245004399
15	0.233881783
16	0.2238518755
17	0.2152469975
18	0.2071921378
19	0.2002375056
20	0.1939018759
21	0.1881763176
22	0.1827677194
23	0.1779433011
24	0.1737678444
25	0.1697951226
26	0.1662084307
27	0.1633434983
28	0.160478795
29	0.1578433836
30	0.1551932308
31	0.152898877
32	0.1508082582
33	0.1489386512
34	0.1471615542
35	0.1455600387
36	0.1440632029
37	0.142788374
38	0.1415178369
39	0.1403404438
40	0.1394760438
41	0.1384869606
42	0.1376599036
43	0.1368607925
44	0.1361030014
45	0.135377087
46	0.1346793903
47	0.1340445723
48	0.1336196359
49	0.1331251767
50	0.1325966084
51	0.1320894851
52	0.1316417034
53	0.1311747354
54	0.1307771881
55	0.130405987
56	0.1301019167
57	0.1297715347
58	0.1295001237
59	0.1292541197
60	0.128996381
61	0.1286851944
62	0.1284343223
63	0.1281869254
64	0.127910857
65	0.1276964918
66	0.1275092042
67	0.1273093606
68	0.1271635709
69	0.1269668269
70	0.1267955469
71	0.1266487029
72	0.1264817236
73	0.126337976
74	0.1261812818
75	0.1260431504
76	0.1258852429
77	0.1257492655
78	0.1256336648
79	0.1255076505
80	0.1254051347
81	0.1252892893
82	0.1251707528
83	0.1250750583
84	0.1249666653
85	0.1248379936
86	0.1247396574
87	0.1246758026
88	0.1246097691
89	0.1244908355
90	0.1244326925
91	0.1243364799
92	0.1242751499
93	0.1241877454
94	0.1241069325
95	0.1240207398
96	0.1239363766
97	0.1238575431
98	0.1237811684
99	0.1237095162
100	0.1235960234
101	0.1235394116
102	0.1234649999
103	0.1233829259
104	0.1233251823
105	0.1232782849
106	0.1232060997
107	0.123148259
108	0.1230915542
109	0.1230311244
110	0.1229715984
111	0.1229069742
112	0.122868576
113	0.1228168416
114	0.1227659416
115	0.1226977812
116	0.1226042457
117	0.1225458136
118	0.1224843402
119	0.1224273314
120	0.1223826654
121	0.1223273486
122	0.1222800113
123	0.1222411609
124	0.1221829923
125	0.1221353106
126	0.1221037774
127	0.122031621
128	0.1219562497
129	0.1219537958
130	0.1219056133
131	0.1218334668
132	0.1218033356
133	0.1217737826
134	0.1217278662
135	0.1216922085
136	0.1216763707
137	0.1216232911
138	0.1215678268
139	0.121521272
140	0.1214565482
141	0.1214218411
142	0.1213747559
143	0.1213283601
144	0.1212728711
145	0.1212220667
146	0.1211792129
147	0.1211192848
148	0.1210441507
149	0.1210064584
150	0.1209676146
151	0.1209211693
152	0.1208813164
153	0.1208388655
154	0.120799819
155	0.1207489404
156	0.120712777
157	0.1206558951
158	0.1206129532
159	0.1205468084
160	0.1205037784
161	0.1204557845
162	0.1204097899
163	0.120380526
164	0.1203033194
165	0.1202395123
166	0.1202057781
167	0.1201512529
168	0.1201094329
169	0.1200661063
170	0.1200348012
171	0.1199838222
172	0.1199526852
173	0.1199215514
174	0.1198897727
175	0.1198349592
176	0.1198260588
177	0.1197839505
178	0.1197445572
179	0.1197025931
180	0.1196702493
181	0.1196459707
182	0.1195961382
183	0.1195225437
184	0.1194979256
185	0.1194676107
186	0.1194373938
187	0.1194046184
188	0.1193587646
189	0.119319606
190	0.1192627307
191	0.1192281382
192	0.1191919171
193	0.1191592858
