iter	Passed	Remaining
0	5	5940
1	13	6554
2	22	7502
3	29	7268
4	38	7703
5	51	8558
6	65	9321
7	78	9752
8	89	9864
9	103	10292
10	112	10105
11	118	9774
12	125	9529
13	131	9239
14	136	8992
15	142	8767
16	147	8555
17	153	8376
18	159	8221
19	165	8110
20	171	8001
21	177	7893
22	183	7784
23	188	7660
24	195	7636
25	201	7530
26	206	7440
27	213	7405
28	220	7384
29	225	7277
30	230	7219
31	235	7133
32	241	7069
33	246	7005
34	252	6969
35	272	7307
36	288	7511
37	301	7625
38	306	7563
39	311	7485
40	315	7382
41	323	7371
42	332	7392
43	341	7423
44	347	7383
45	355	7374
46	362	7356
47	371	7373
48	378	7351
49	385	7318
50	391	7280
51	396	7221
52	403	7209
53	409	7176
54	418	7185
55	425	7165
56	439	7276
57	454	7374
58	460	7348
59	470	7377
60	481	7408
61	489	7401
62	495	7366
63	501	7334
64	507	7300
65	513	7272
66	520	7241
67	526	7221
68	533	7191
69	539	7165
70	546	7144
71	555	7162
72	561	7131
73	567	7095
74	571	7050
75	576	7014
76	581	6969
77	588	6961
78	594	6926
79	598	6882
80	604	6860
81	608	6814
82	613	6774
83	617	6733
84	622	6697
85	626	6656
86	630	6619
87	636	6591
88	643	6586
89	649	6569
90	653	6530
91	657	6492
92	662	6457
93	668	6445
94	672	6410
95	677	6379
96	681	6341
97	685	6307
98	688	6269
99	692	6231
100	695	6192
101	699	6154
102	702	6116
103	705	6079
104	709	6051
105	714	6023
106	718	5992
107	721	5962
108	726	5936
109	729	5906
110	733	5875
111	737	5847
112	741	5821
113	745	5796
114	749	5769
115	753	5745
116	758	5722
117	761	5695
118	765	5666
119	769	5639
120	772	5612
121	776	5586
122	779	5560
123	782	5525
124	785	5501
125	789	5476
126	793	5451
127	796	5426
128	799	5400
129	803	5376
130	806	5350
131	809	5324
132	813	5300
133	816	5275
134	819	5253
135	823	5234
136	827	5215
137	832	5202
138	839	5202
139	845	5190
140	849	5173
141	853	5157
142	858	5143
143	863	5133
144	868	5119
145	874	5115
146	881	5113
147	901	5191
148	912	5213
149	921	5220
150	926	5209
151	933	5209
152	940	5208
153	946	5197
154	951	5187
155	957	5182
156	963	5173
157	970	5169
158	975	5160
159	981	5152
160	988	5153
161	993	5141
162	1001	5143
163	1007	5133
164	1012	5123
165	1019	5121
166	1025	5116
167	1031	5106
168	1036	5096
169	1042	5088
170	1050	5093
171	1058	5096
172	1065	5093
173	1072	5092
174	1079	5087
175	1085	5082
176	1091	5073
177	1097	5067
178	1104	5065
179	1110	5060
180	1122	5078
181	1129	5076
182	1134	5066
183	1140	5056
184	1146	5049
185	1151	5038
186	1156	5026
187	1163	5025
188	1169	5018
189	1176	5013
190	1182	5008
191	1188	4999
192	1197	5007
193	1214	5046
194	1227	5065
195	1239	5085
196	1252	5104
197	1262	5113
198	1274	5129
199	1287	5149
200	1299	5165
201	1304	5154
202	1313	5156
203	1326	5176
204	1349	5234
205	1357	5231
206	1367	5240
207	1389	5292
